,Date,Title,Author,Ranking,Year,Month,List
90,2019-07-01,Summer Of '69,Elin Hilderbrand,1,2019,7,combined-print-and-e-book-fiction
91,2019-07-01,Where The Crawdads Sing,Delia Owens,2,2019,7,combined-print-and-e-book-fiction
92,2019-07-01,The Reckoning,John Grisham,3,2019,7,combined-print-and-e-book-fiction
93,2019-07-01,City Of Girls,Elizabeth Gilbert,4,2019,7,combined-print-and-e-book-fiction
94,2019-07-01,Mrs. Everything,Jennifer Weiner,5,2019,7,combined-print-and-e-book-fiction
95,2019-07-01,Before We Were Yours,Lisa Wingate,6,2019,7,combined-print-and-e-book-fiction
96,2019-07-01,Unsolved,James Patterson and David Ellis,7,2019,7,combined-print-and-e-book-fiction
97,2019-07-01,Little Fires Everywhere,Celeste Ng,8,2019,7,combined-print-and-e-book-fiction
98,2019-07-01,The Tattooist Of Auschwitz,Heather Morris,9,2019,7,combined-print-and-e-book-fiction
99,2019-07-01,Good Omens,Neil Gaiman and Terry Pratchett,10,2019,7,combined-print-and-e-book-fiction
100,2019-07-01,Tom Clancy: Enemy Contact,Mike Maden,11,2019,7,combined-print-and-e-book-fiction
101,2019-07-01,The Oracle,Clive Cussler and Robin Burcell,12,2019,7,combined-print-and-e-book-fiction
102,2019-07-01,Cottage By The Sea,Debbie Macomber,13,2019,7,combined-print-and-e-book-fiction
103,2019-07-01,There Goes My Heart,Bella Andre,14,2019,7,combined-print-and-e-book-fiction
104,2019-07-01,Past Tense,Lee Child,15,2019,7,combined-print-and-e-book-fiction
105,2019-08-01,The New Girl,Daniel Silva,1,2019,8,combined-print-and-e-book-fiction
106,2019-08-01,Where The Crawdads Sing,Delia Owens,2,2019,8,combined-print-and-e-book-fiction
107,2019-08-01,The Nickel Boys,Colson Whitehead,3,2019,8,combined-print-and-e-book-fiction
108,2019-08-01,The Adventure Zone: Murder On The Rockport Limited!,Clint McElroy et al. Illustrated by Carey Pietsch,4,2019,8,combined-print-and-e-book-fiction
109,2019-08-01,Under Currents,Nora Roberts,5,2019,8,combined-print-and-e-book-fiction
110,2019-08-01,Window On The Bay,Debbie Macomber,6,2019,8,combined-print-and-e-book-fiction
111,2019-08-01,Summer Of '69,Elin Hilderbrand,7,2019,8,combined-print-and-e-book-fiction
112,2019-08-01,The Reckoning,John Grisham,8,2019,8,combined-print-and-e-book-fiction
113,2019-08-01,Evvie Drake Starts Over,Linda Holmes,9,2019,8,combined-print-and-e-book-fiction
114,2019-08-01,Before We Were Yours,Lisa Wingate,10,2019,8,combined-print-and-e-book-fiction
115,2019-08-01,The Tattooist Of Auschwitz,Heather Morris,11,2019,8,combined-print-and-e-book-fiction
116,2019-08-01,Shamed,Linda Castillo,12,2019,8,combined-print-and-e-book-fiction
117,2019-08-01,Sold On A Monday,Kristina McMorris,13,2019,8,combined-print-and-e-book-fiction
118,2019-08-01,City Of Girls,Elizabeth Gilbert,14,2019,8,combined-print-and-e-book-fiction
119,2019-08-01,Little Fires Everywhere,Celeste Ng,15,2019,8,combined-print-and-e-book-fiction
120,2019-09-01,Where The Crawdads Sing,Delia Owens,1,2019,9,combined-print-and-e-book-fiction
121,2019-09-01,The Bitterroots,C.J. Box,2,2019,9,combined-print-and-e-book-fiction
122,2019-09-01,Contraband,Stuart Woods,3,2019,9,combined-print-and-e-book-fiction
123,2019-09-01,The Inn,James Patterson with Candice Fox,4,2019,9,combined-print-and-e-book-fiction
124,2019-09-01,The Art Of Racing In The Rain,Garth Stein,5,2019,9,combined-print-and-e-book-fiction
125,2019-09-01,Blood Truth,J.R. Ward,6,2019,9,combined-print-and-e-book-fiction
126,2019-09-01,One Good Deed,David Baldacci,7,2019,9,combined-print-and-e-book-fiction
127,2019-09-01,The Nickel Boys,Colson Whitehead,8,2019,9,combined-print-and-e-book-fiction
128,2019-09-01,The Turn Of The Key,Ruth Ware,9,2019,9,combined-print-and-e-book-fiction
129,2019-09-01,The New Girl,Daniel Silva,10,2019,9,combined-print-and-e-book-fiction
130,2019-09-01,Outfox,Sandra Brown,11,2019,9,combined-print-and-e-book-fiction
131,2019-09-01,The Wallflower Wager,Tessa Dare,12,2019,9,combined-print-and-e-book-fiction
132,2019-09-01,The Warning,James Patterson and Robison Wells,13,2019,9,combined-print-and-e-book-fiction
133,2019-09-01,The Tattooist Of Auschwitz,Heather Morris,14,2019,9,combined-print-and-e-book-fiction
134,2019-09-01,Little Fires Everywhere,Celeste Ng,15,2019,9,combined-print-and-e-book-fiction
135,2019-10-01,The Institute,Stephen King,1,2019,10,combined-print-and-e-book-fiction
136,2019-10-01,The Testaments,Margaret Atwood,2,2019,10,combined-print-and-e-book-fiction
137,2019-10-01,Where The Crawdads Sing,Delia Owens,3,2019,10,combined-print-and-e-book-fiction
138,2019-10-01,Land Of Wolves,Craig Johnson,4,2019,10,combined-print-and-e-book-fiction
139,2019-10-01,The Goldfinch,Donna Tartt,5,2019,10,combined-print-and-e-book-fiction
140,2019-10-01,The Handmaid'S Tale,Margaret Atwood,6,2019,10,combined-print-and-e-book-fiction
141,2019-10-01,It,Stephen King,7,2019,10,combined-print-and-e-book-fiction
142,2019-10-01,The Girl Who Lived Twice,David Lagercrantz,8,2019,10,combined-print-and-e-book-fiction
143,2019-10-01,Killer Instinct,James Patterson and Howard Roughan,9,2019,10,combined-print-and-e-book-fiction
144,2019-10-01,The Tattooist Of Auschwitz,Heather Morris,10,2019,10,combined-print-and-e-book-fiction
145,2019-10-01,The Stalking,Heather Graham,11,2019,10,combined-print-and-e-book-fiction
146,2019-10-01,Vendetta In Death,J.D. Robb,12,2019,10,combined-print-and-e-book-fiction
147,2019-10-01,A Little Hatred,Joe Abercrombie,13,2019,10,combined-print-and-e-book-fiction
148,2019-10-01,Before We Were Yours,Lisa Wingate,14,2019,10,combined-print-and-e-book-fiction
149,2019-10-01,The Titanic Secret,Clive Cussler and Jack Du Brul,15,2019,10,combined-print-and-e-book-fiction
150,2019-11-01,The Guardians,John Grisham,1,2019,11,combined-print-and-e-book-fiction
151,2019-11-01,Where The Crawdads Sing,Delia Owens,2,2019,11,combined-print-and-e-book-fiction
152,2019-11-01,The 19Th Christmas,James Patterson and Maxine Paetro,3,2019,11,combined-print-and-e-book-fiction
153,2019-11-01,"Olive, Again",Elizabeth Strout,4,2019,11,combined-print-and-e-book-fiction
154,2019-11-01,Stealth,Stuart Woods,5,2019,11,combined-print-and-e-book-fiction
155,2019-11-01,The Institute,Stephen King,6,2019,11,combined-print-and-e-book-fiction
156,2019-11-01,The Dutch House,Ann Patchett,7,2019,11,combined-print-and-e-book-fiction
157,2019-11-01,The Water Dancer,Ta-Nehisi Coates,8,2019,11,combined-print-and-e-book-fiction
158,2019-11-01,The Testaments,Margaret Atwood,9,2019,11,combined-print-and-e-book-fiction
159,2019-11-01,Bloody Genius,John Sandford,10,2019,11,combined-print-and-e-book-fiction
160,2019-11-01,The Giver Of Stars,Jojo Moyes,11,2019,11,combined-print-and-e-book-fiction
161,2019-11-01,Doctor Sleep,Stephen King,12,2019,11,combined-print-and-e-book-fiction
162,2019-11-01,Ninth House,Leigh Bardugo,13,2019,11,combined-print-and-e-book-fiction
163,2019-11-01,What Happens In Paradise,Elin Hilderbrand,14,2019,11,combined-print-and-e-book-fiction
164,2019-11-01,Vince Flynn: Lethal Agent,Kyle Mills,15,2019,11,combined-print-and-e-book-fiction
165,2019-12-01,Twisted Twenty-Six,Janet Evanovich,1,2019,12,combined-print-and-e-book-fiction
166,2019-12-01,Blue Moon,Lee Child,2,2019,12,combined-print-and-e-book-fiction
167,2019-12-01,The Guardians,John Grisham,3,2019,12,combined-print-and-e-book-fiction
168,2019-12-01,Where The Crawdads Sing,Delia Owens,4,2019,12,combined-print-and-e-book-fiction
169,2019-12-01,The Night Fire,Michael Connelly,5,2019,12,combined-print-and-e-book-fiction
170,2019-12-01,"Olive, Again",Elizabeth Strout,6,2019,12,combined-print-and-e-book-fiction
171,2019-12-01,The Dutch House,Ann Patchett,7,2019,12,combined-print-and-e-book-fiction
172,2019-12-01,The Giver Of Stars,Jojo Moyes,8,2019,12,combined-print-and-e-book-fiction
173,2019-12-01,The Institute,Stephen King,9,2019,12,combined-print-and-e-book-fiction
174,2019-12-01,The 19Th Christmas,James Patterson and Maxine Paetro,10,2019,12,combined-print-and-e-book-fiction
175,2019-12-01,Michael Crichton: The Andromeda Evolution,Daniel H. Wilson,11,2019,12,combined-print-and-e-book-fiction
176,2019-12-01,The Family Upstairs,Lisa Jewell,12,2019,12,combined-print-and-e-book-fiction
177,2019-12-01,The Deserter,Nelson DeMille and Alex DeMille,13,2019,12,combined-print-and-e-book-fiction
178,2019-12-01,The Starless Sea,Erin Morgenstern,14,2019,12,combined-print-and-e-book-fiction
179,2019-12-01,The Testaments,Margaret Atwood,15,2019,12,combined-print-and-e-book-fiction
180,2020-01-01,Where The Crawdads Sing,Delia Owens,1,2020,1,combined-print-and-e-book-fiction
181,2020-01-01,The Guardians,John Grisham,2,2020,1,combined-print-and-e-book-fiction
182,2020-01-01,Criss Cross,James Patterson,3,2020,1,combined-print-and-e-book-fiction
183,2020-01-01,The Institute,Stephen King,4,2020,1,combined-print-and-e-book-fiction
184,2020-01-01,A Minute To Midnight,David Baldacci,5,2020,1,combined-print-and-e-book-fiction
185,2020-01-01,Blue Moon,Lee Child,6,2020,1,combined-print-and-e-book-fiction
186,2020-01-01,The Dutch House,Ann Patchett,7,2020,1,combined-print-and-e-book-fiction
187,2020-01-01,The Silent Patient,Alex Michaelides,8,2020,1,combined-print-and-e-book-fiction
188,2020-01-01,Twisted Twenty-Six,Janet Evanovich,9,2020,1,combined-print-and-e-book-fiction
189,2020-01-01,The Testaments,Margaret Atwood,10,2020,1,combined-print-and-e-book-fiction
190,2020-01-01,The Tattooist Of Auschwitz,Heather Morris,11,2020,1,combined-print-and-e-book-fiction
191,2020-01-01,The Giver Of Stars,Jojo Moyes,12,2020,1,combined-print-and-e-book-fiction
192,2020-01-01,The Overstory,Richard Powers,13,2020,1,combined-print-and-e-book-fiction
193,2020-01-01,"Olive, Again",Elizabeth Strout,14,2020,1,combined-print-and-e-book-fiction
194,2020-01-01,The Water Dancer,Ta-Nehisi Coates,15,2020,1,combined-print-and-e-book-fiction
195,2020-02-01,Where The Crawdads Sing,Delia Owens,1,2020,2,combined-print-and-e-book-fiction
196,2020-02-01,Lost,James Patterson and James O. Born,2,2020,2,combined-print-and-e-book-fiction
197,2020-02-01,The Last Wish,Andrzej Sapkowski,3,2020,2,combined-print-and-e-book-fiction
198,2020-02-01,The Guardians,John Grisham,4,2020,2,combined-print-and-e-book-fiction
199,2020-02-01,The Silent Patient,Alex Michaelides,5,2020,2,combined-print-and-e-book-fiction
200,2020-02-01,The Dutch House,Ann Patchett,6,2020,2,combined-print-and-e-book-fiction
201,2020-02-01,Dear Edward,Ann Napolitano,7,2020,2,combined-print-and-e-book-fiction
202,2020-02-01,Such A Fun Age,Kiley Reid,8,2020,2,combined-print-and-e-book-fiction
203,2020-02-01,The Giver Of Stars,Jojo Moyes,9,2020,2,combined-print-and-e-book-fiction
204,2020-02-01,The Outsider,Stephen King,10,2020,2,combined-print-and-e-book-fiction
205,2020-02-01,Moral Compass,Danielle Steel,11,2020,2,combined-print-and-e-book-fiction
206,2020-02-01,Little Fires Everywhere,Celeste Ng,12,2020,2,combined-print-and-e-book-fiction
207,2020-02-01,Before We Were Yours,Lisa Wingate,13,2020,2,combined-print-and-e-book-fiction
208,2020-02-01,Long Bright River,Liz Moore,14,2020,2,combined-print-and-e-book-fiction
209,2020-02-01,The Wives,Tarryn Fisher,15,2020,2,combined-print-and-e-book-fiction
210,2020-03-01,American Dirt,Jeanine Cummins,1,2020,3,combined-print-and-e-book-fiction
211,2020-03-01,Where The Crawdads Sing,Delia Owens,2,2020,3,combined-print-and-e-book-fiction
212,2020-03-01,Golden In Death,J.D. Robb,3,2020,3,combined-print-and-e-book-fiction
213,2020-03-01,Little Fires Everywhere,Celeste Ng,4,2020,3,combined-print-and-e-book-fiction
214,2020-03-01,The Silent Patient,Alex Michaelides,5,2020,3,combined-print-and-e-book-fiction
215,2020-03-01,Crooked River,Douglas Preston and Lincoln Child,6,2020,3,combined-print-and-e-book-fiction
216,2020-03-01,The Dutch House,Ann Patchett,7,2020,3,combined-print-and-e-book-fiction
217,2020-03-01,The Guardians,John Grisham,8,2020,3,combined-print-and-e-book-fiction
218,2020-03-01,The Outsider,Stephen King,9,2020,3,combined-print-and-e-book-fiction
219,2020-03-01,The Tattooist Of Auschwitz,Heather Morris,10,2020,3,combined-print-and-e-book-fiction
220,2020-03-01,The Last Wish,Andrzej Sapkowski,11,2020,3,combined-print-and-e-book-fiction
221,2020-03-01,The Giver Of Stars,Jojo Moyes,12,2020,3,combined-print-and-e-book-fiction
222,2020-03-01,A Long Petal Of The Sea,Isabel Allende,13,2020,3,combined-print-and-e-book-fiction
223,2020-03-01,Such A Fun Age,Kiley Reid,14,2020,3,combined-print-and-e-book-fiction
224,2020-03-01,Criss Cross,James Patterson,15,2020,3,combined-print-and-e-book-fiction
225,2020-04-01,The Boy From The Woods,Harlan Coben,1,2020,4,combined-print-and-e-book-fiction
226,2020-04-01,Little Fires Everywhere,Celeste Ng,2,2020,4,combined-print-and-e-book-fiction
227,2020-04-01,Smoke Bitten,Patricia Briggs,3,2020,4,combined-print-and-e-book-fiction
228,2020-04-01,Where The Crawdads Sing,Delia Owens,4,2020,4,combined-print-and-e-book-fiction
229,2020-04-01,Hit List,Stuart Woods,5,2020,4,combined-print-and-e-book-fiction
230,2020-04-01,American Dirt,Jeanine Cummins,6,2020,4,combined-print-and-e-book-fiction
231,2020-04-01,In Five Years,Rebecca Serle,7,2020,4,combined-print-and-e-book-fiction
232,2020-04-01,The Mirror & The Light,Hilary Mantel,8,2020,4,combined-print-and-e-book-fiction
233,2020-04-01,Star Wars: The Rise Of Skywalker,Rae Carson,9,2020,4,combined-print-and-e-book-fiction
234,2020-04-01,A Conspiracy Of Bones,Kathy Reichs,10,2020,4,combined-print-and-e-book-fiction
235,2020-04-01,Blindside,James Patterson and James O. Born,11,2020,4,combined-print-and-e-book-fiction
236,2020-04-01,Long Range,C.J. Box,12,2020,4,combined-print-and-e-book-fiction
237,2020-04-01,The Silent Patient,Alex Michaelides,13,2020,4,combined-print-and-e-book-fiction
238,2020-04-01,Journey Of The Pharaohs,Clive Cussler and Graham Brown,14,2020,4,combined-print-and-e-book-fiction
239,2020-04-01,The Tattooist Of Auschwitz,Heather Morris,15,2020,4,combined-print-and-e-book-fiction
240,2020-05-01,Masked Prey,John Sandford,1,2020,5,combined-print-and-e-book-fiction
241,2020-05-01,Little Fires Everywhere,Celeste Ng,2,2020,5,combined-print-and-e-book-fiction
242,2020-05-01,Where The Crawdads Sing,Delia Owens,3,2020,5,combined-print-and-e-book-fiction
243,2020-05-01,American Dirt,Jeanine Cummins,4,2020,5,combined-print-and-e-book-fiction
244,2020-05-01,The Silent Patient,Alex Michaelides,5,2020,5,combined-print-and-e-book-fiction
245,2020-05-01,The Last Emperox,John Scalzi,6,2020,5,combined-print-and-e-book-fiction
246,2020-05-01,The Boy From The Woods,Harlan Coben,7,2020,5,combined-print-and-e-book-fiction
247,2020-05-01,The Woman In The Window,A.J. Finn,8,2020,5,combined-print-and-e-book-fiction
248,2020-05-01,The Tattooist Of Auschwitz,Heather Morris,9,2020,5,combined-print-and-e-book-fiction
249,2020-05-01,Savage Son,Jack Carr,10,2020,5,combined-print-and-e-book-fiction
250,2020-05-01,In Five Years,Rebecca Serle,11,2020,5,combined-print-and-e-book-fiction
251,2020-05-01,The Giver Of Stars,Jojo Moyes,12,2020,5,combined-print-and-e-book-fiction
252,2020-05-01,The Dutch House,Ann Patchett,13,2020,5,combined-print-and-e-book-fiction
253,2020-05-01,The Glass Hotel,Emily St. John Mandel,14,2020,5,combined-print-and-e-book-fiction
254,2020-05-01,Redhead By The Side Of The Road,Anne Tyler,15,2020,5,combined-print-and-e-book-fiction
255,2020-06-01,Camino Winds,John Grisham,1,2020,6,combined-print-and-e-book-fiction
256,2020-06-01,Where The Crawdads Sing,Delia Owens,2,2020,6,combined-print-and-e-book-fiction
257,2020-06-01,Little Fires Everywhere,Celeste Ng,3,2020,6,combined-print-and-e-book-fiction
258,2020-06-01,Normal People,Sally Rooney,4,2020,6,combined-print-and-e-book-fiction
259,2020-06-01,Big Summer,Jennifer Weiner,5,2020,6,combined-print-and-e-book-fiction
260,2020-06-01,If It Bleeds,Stephen King,6,2020,6,combined-print-and-e-book-fiction
261,2020-06-01,Walk The Wire,David Baldacci,7,2020,6,combined-print-and-e-book-fiction
262,2020-06-01,The 20Th Victim,James Patterson and Maxine Paetro,8,2020,6,combined-print-and-e-book-fiction
263,2020-06-01,On Ocean Boulevard,Mary Alice Monroe,9,2020,6,combined-print-and-e-book-fiction
264,2020-06-01,American Dirt,Jeanine Cummins,10,2020,6,combined-print-and-e-book-fiction
265,2020-06-01,The Last Trial,Scott Turow,11,2020,6,combined-print-and-e-book-fiction
266,2020-06-01,Beach Read,Emily Henry,12,2020,6,combined-print-and-e-book-fiction
267,2020-06-01,Rodham,Curtis Sittenfeld,13,2020,6,combined-print-and-e-book-fiction
268,2020-06-01,All Adults Here,Emma Straub,14,2020,6,combined-print-and-e-book-fiction
269,2020-06-01,A Week At The Shore,Barbara Delinsky,15,2020,6,combined-print-and-e-book-fiction
270,2020-07-01,28 Summers,Elin Hilderbrand,1,2020,7,combined-print-and-e-book-fiction
271,2020-07-01,Where The Crawdads Sing,Delia Owens,2,2020,7,combined-print-and-e-book-fiction
272,2020-07-01,Camino Winds,John Grisham,3,2020,7,combined-print-and-e-book-fiction
273,2020-07-01,The Vanishing Half,Brit Bennett,4,2020,7,combined-print-and-e-book-fiction
274,2020-07-01,The Summer House,James Patterson and Brendan DuBois,5,2020,7,combined-print-and-e-book-fiction
275,2020-07-01,Little Fires Everywhere,Celeste Ng,6,2020,7,combined-print-and-e-book-fiction
276,2020-07-01,Fair Warning,Michael Connelly,7,2020,7,combined-print-and-e-book-fiction
277,2020-07-01,American Demon,Kim Harrison,8,2020,7,combined-print-and-e-book-fiction
278,2020-07-01,The Guardians,John Grisham,9,2020,7,combined-print-and-e-book-fiction
279,2020-07-01,The Guest List,Lucy Foley,10,2020,7,combined-print-and-e-book-fiction
280,2020-07-01,Deacon King Kong,James McBride,11,2020,7,combined-print-and-e-book-fiction
281,2020-07-01,Devolution,Max Brooks,12,2020,7,combined-print-and-e-book-fiction
282,2020-07-01,If It Bleeds,Stephen King,13,2020,7,combined-print-and-e-book-fiction
283,2020-07-01,Hideaway,Nora Roberts,14,2020,7,combined-print-and-e-book-fiction
284,2020-07-01,American Dirt,Jeanine Cummins,15,2020,7,combined-print-and-e-book-fiction
285,2020-08-01,The Order,Daniel Silva,1,2020,8,combined-print-and-e-book-fiction
286,2020-08-01,Peace Talks,Jim Butcher,2,2020,8,combined-print-and-e-book-fiction
